"male","outdegp","indegp","indeg","outdeg","age","agetodayf","agetodaym","ageatdeathf","ageatdeathm","fid","mid"
0,NA,NA,22,26,66.4700012207031,NA,NA,NA,NA,NA,NA
1,5,10,11,14,37.8400001525879,67.879997253418,70.7399978637695,NA,NA,"wgcv3","vzdmj"
0,NA,NA,10,7,61.9300003051758,NA,NA,NA,NA,NA,NA
1,24,19,13,18,31.3299999237061,65.0999984741211,65.0100021362305,NA,NA,"so9ie","dmmws"
0,NA,NA,5,10,42.1699981689453,NA,NA,NA,NA,NA,NA
1,NA,NA,7,0,55.7599983215332,NA,NA,NA,NA,NA,NA
1,NA,NA,10,14,52.6800003051758,NA,NA,NA,NA,NA,NA
1,0,9,9,12,33.4099998474121,70.7799987792969,75.2900009155273,42.4599990844727,NA,"ehjn5","rblc8"
0,NA,NA,9,1,46.4000015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,1,4,61.2000007629395,NA,NA,NA,NA,NA,NA
0,NA,NA,6,2,74.3000030517578,NA,NA,NA,NA,NA,NA
0,20,13,12,18,43.2799987792969,80.2900009155273,78.1699981689453,46.0800018310547,NA,"iudc5","aqke1"
1,12,10,7,12,37.1100006103516,72.4300003051758,72.4300003051758,NA,NA,"da1ox","gmsrp"
0,NA,NA,9,14,49.25,NA,NA,NA,NA,NA,NA
0,NA,NA,10,11,74.2399978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,11,10,59.1500015258789,NA,NA,NA,NA,NA,NA
0,NA,NA,9,12,73.3300018310547,NA,NA,NA,NA,NA,NA
1,NA,NA,8,12,64.3399963378906,NA,NA,NA,NA,NA,NA
1,NA,NA,13,17,57.9900016784668,NA,NA,NA,NA,NA,NA
1,NA,NA,18,53,45.7900009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,4,8,66.629997253418,NA,NA,NA,NA,NA,NA
0,NA,NA,5,7,59.8899993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,11,10,26.8899993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,7,10,73.4199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,7,1,32.8800010681152,NA,NA,NA,NA,NA,NA
0,NA,NA,10,12,50.5999984741211,NA,NA,NA,NA,NA,NA
0,NA,NA,9,22,52.5900001525879,NA,NA,NA,NA,NA,NA
1,NA,NA,0,0,77.870002746582,NA,NA,NA,NA,NA,NA
0,NA,NA,12,10,52,NA,NA,NA,NA,NA,NA
1,NA,NA,26,29,59.6300010681152,NA,NA,NA,NA,NA,NA
1,NA,NA,8,6,62.689998626709,NA,NA,NA,NA,NA,NA
1,10,4,8,2,46.5499992370605,80.3000030517578,63,NA,NA,"un4ms","duj8l"
0,NA,NA,9,1,69.7600021362305,NA,NA,NA,NA,NA,NA
1,NA,NA,1,4,61.6300010681152,NA,NA,NA,NA,NA,NA
1,NA,NA,19,1,43.2700004577637,NA,NA,NA,NA,NA,NA
0,20,17,10,14,28.1499996185303,57.7000007629395,60.0200004577637,NA,NA,"d355w","bmphl"
0,NA,NA,4,10,66.129997253418,NA,NA,NA,NA,NA,NA
1,NA,NA,14,9,47.9199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,9,12,66.0400009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,15,24,55.8300018310547,NA,NA,NA,NA,NA,NA
0,NA,NA,9,11,62.7599983215332,NA,NA,NA,NA,NA,NA
1,NA,NA,9,9,51.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,13,14,52.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,6,7,74.6100006103516,NA,NA,NA,NA,NA,NA
0,NA,NA,11,4,46.6599998474121,NA,NA,NA,NA,NA,NA
0,11,10,8,12,37.8800010681152,65.6999969482422,74.2399978637695,24.7000007629395,NA,"i3v18","cibrq"
0,NA,NA,4,11,33.5400009155273,NA,NA,NA,NA,NA,NA
0,NA,NA,11,11,60.7799987792969,NA,NA,NA,NA,NA,NA
0,NA,NA,7,12,32.1500015258789,NA,NA,NA,NA,NA,NA
1,NA,NA,10,20,60.2599983215332,NA,NA,NA,NA,NA,NA
1,NA,NA,8,7,80.5999984741211,NA,NA,NA,NA,NA,NA
1,12,10,12,15,27.6499996185303,67.7699966430664,61.3899993896484,NA,NA,"t634i","i7igx"
1,1,9,11,9,36.7400016784668,75.0699996948242,81.620002746582,71,NA,"lnkmq","rhexx"
0,NA,NA,7,10,67,NA,NA,NA,NA,NA,NA
1,NA,NA,3,0,44.6500015258789,NA,NA,NA,NA,NA,NA
0,0,9,8,11,51.0400009155273,70.7799987792969,75.2900009155273,42.4599990844727,NA,"ehjn5","rblc8"
1,7,12,15,10,38.7799987792969,66.2099990844727,61.1300010681152,NA,NA,"jg12p","qr3nm"
0,6,7,9,10,40.2099990844727,66.4000015258789,70.1100006103516,42.2000007629395,NA,"mu69a","jwv6m"
0,NA,NA,10,0,64.1399993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,7,12,54.4300003051758,NA,NA,NA,NA,NA,NA
1,NA,NA,12,14,32.2200012207031,NA,NA,NA,NA,NA,NA
0,NA,NA,5,5,56.9900016784668,NA,NA,NA,NA,NA,NA
1,NA,NA,13,2,56.2700004577637,NA,NA,NA,NA,NA,NA
1,NA,NA,15,14,51.1699981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,11,11,49.0800018310547,NA,NA,NA,NA,NA,NA
1,NA,NA,6,9,54.0900001525879,NA,NA,NA,NA,NA,NA
