"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"tgs2z","f",31.6767120361328,3.8199999332428,"icx35",50.9917793273926,19.3150691986084,6,NA,NA,NA,NA
"ckdaq","m",23.6712322235107,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kkhz2","f",39.6821899414062,4.82000017166138,NA,NA,NA,NA,NA,NA,NA,NA
"ca8g0","m",15.7506847381592,0,NA,NA,NA,NA,"yafyq",32.6767120361328,16.9260272979736,3
"y5nqt","f",76.7068481445312,2,NA,NA,NA,NA,NA,NA,NA,NA
"jfgy1","m",26.6767120361328,1.63999998569489,NA,NA,NA,NA,NA,NA,NA,NA
"yav94","m",46.687671661377,1,NA,NA,NA,NA,NA,NA,NA,NA
"jy4dn","m",60.6958885192871,7.82000017166138,NA,NA,NA,NA,NA,NA,NA,NA
"sa7eh","m",45.6849327087402,6,"u3lvm",78.5589065551758,32.8739738464355,7,"x0m0f",70.0383529663086,24.3534240722656,7
"c5ate","m",17.9835624694824,0,"w4tmg",51.6904106140137,33.7068481445312,6,"xwskh",45.6849327087402,27.7013702392578,6
"xnpos","f",60.6958885192871,4,"vvk8g",64.0438385009766,3.34794521331787,4,"lmbsv",81.5534210205078,20.8575344085693,4
"vz8oj","f",37.6794509887695,7.6399998664856,NA,NA,NA,NA,"c3dsm",59.6958885192871,22.0164375305176,9
"gy0o8","m",20.9863014221191,0,"gouug",57.6931495666504,36.7068481445312,11,"dp8nn",53.4137001037598,32.4273986816406,6
"nrj92","f",19.668493270874,1.63999998569489,"nknq0",45.6849327087402,26.0164375305176,3,"yxley",42.6849327087402,23.0164375305176,3
"w2qdg","m",26.6739730834961,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vc2kg","m",39.4767112731934,6.82000017166138,"hnkaa",77.0400009155273,37.5632858276367,4,"lycjo",81.6958923339844,42.2191772460938,4
"zn82l","m",22.6712322235107,0,"s6lpf",32.0219192504883,9.35068511962891,4,"urdis",42.8849296569824,20.2136993408203,7
"yi78n","f",22.6712322235107,0,"e4xs3",53.6904106140137,31.0191783905029,4,"dmrfz",46.687671661377,24.0164375305176,4
"hbynw","m",72.7041091918945,3,NA,NA,NA,NA,NA,NA,NA,NA
"efgtq","f",18.0027389526367,0,"pksip",69.4904098510742,51.4876708984375,9,"xgk6q",NA,NA,NA
"nhu3e","m",45.6684913635254,2.8199999332428,"d1px7",60.0410957336426,14.3726024627686,4,"jympc",68.7013702392578,23.0328769683838,4
"dj9fr","m",35.6794509887695,3.64000010490417,NA,NA,NA,NA,"snhy8",64.0438385009766,28.3643836975098,5
"aa25k","f",18.668493270874,0.819999992847443,"vbocw",39.7726020812988,21.1041088104248,2,"ysuti",44.6849327087402,26.0164375305176,4
"ykyeg","f",29.3753433227539,1,"e4jrk",38.024658203125,8.64931488037109,9,"k1bp9",48.312328338623,18.9369869232178,7
"jktr7","f",62.5945205688477,8,NA,NA,NA,NA,NA,NA,NA,NA
"i0vw2","f",64.6986312866211,3,NA,NA,NA,NA,"psx97",83.709587097168,19.0109596252441,3
"i79vg","f",38.024658203125,0,"vvk8g",64.0438385009766,26.0191783905029,4,"lmbsv",81.5534210205078,43.5287666320801,4
"ihvpf","f",41.7506866455078,4.82000017166138,"bbqsy",67.9534225463867,26.2027397155762,5,"y2h1k",66.5232849121094,24.7726020812988,5
"t7c4e","f",30.6767120361328,NA,"luoxd",49.783561706543,19.1068496704102,2,"wy56k",44.0301361083984,13.3534250259399,2
"dw1ot","f",39.2547950744629,5.82000017166138,"bdyke",67.7013702392578,28.4465751647949,8,"l741r",67.7013702392578,28.4465751647949,8
"nk7re","m",15.7780818939209,0,"rzq0e",52.2082176208496,36.4301376342773,3,"gy60o",NA,NA,NA
"isy2s","m",31.6821918487549,0,"pkwpc",54.0383567810059,22.356164932251,6,"yxvr2",55.6986312866211,24.0164375305176,6
"b7nq9","f",68.7013702392578,8,NA,NA,NA,NA,NA,NA,NA,NA
"yh52e","m",42.6849327087402,6.82000017166138,"qdjty",61.6958885192871,19.0109596252441,8,"whtru",61.6958885192871,19.0109596252441,1
"iaqwj","m",32.6739730834961,NA,"verkm",78.6137008666992,45.9397277832031,1,"dbcyt",73.9424667358398,41.2684936523438,1
