"id","sex","age","weight","mid","agem","weightm","fid","agef","weightf"
"qj3sx",1,NA,NA,"rg8zg",45.4166679382324,54.6530303955078,"f1k25",48.658332824707,59.5075759887695
"fg2ce",0,31.5,59.4078407287598,"jyx2m",NA,NA,"r8sat",NA,NA
"lsfo3",1,30.9249992370605,59.5797157287598,"bvxx1",51.4599990844727,43.8427276611328,"bru2k",NA,NA
"a7edb",1,29.9500007629395,58.1697311401367,"inehi",49.2874984741211,46.5704536437988,"c3ztr",NA,NA
"ec1h7",1,NA,NA,"bd7yr",NA,NA,"c19xo",NA,NA
"thde0",1,NA,NA,"ic6ip",NA,NA,"l62gg",52.6500015258789,59.064079284668
"m68l8",1,24.0499992370605,57.9545440673828,"p98ei",NA,NA,"qos5r",61.3666648864746,61.7878799438477
"xq1pi",1,28.8125,59.4262199401855,"vvuur",53.3545455932617,55.9476890563965,"d78su",41.7000007629395,54.2000007629395
"bqj8z",0,30.8333339691162,57.6179847717285,"l1o0w",NA,NA,"aa3c3",44.3952369689941,68.3882446289062
"oiu4o",1,NA,NA,"e6kgp",NA,NA,"iu3vx",NA,NA
"v3v28",0,NA,NA,"o5e62",NA,NA,"yrawv",NA,NA
"cv5dj",0,NA,NA,"lvgdk",35.5888900756836,45.2306823730469,"z4zm6",NA,NA
"wdzm4",0,29.53125,57.9337882995605,"k0nnw",46.6333351135254,57.7992630004883,"ksonm",NA,NA
"uq8pb",1,23.0499992370605,65.6818161010742,"rq3ju",NA,NA,"vr9wt",37.2750015258789,57.4767036437988
"etxkr",1,28.6461544036865,47.6615982055664,"obizp",NA,NA,"cs37j",NA,NA
"wwsf9",1,28.5777778625488,59.2037658691406,"etlc9",44.481819152832,47.4136734008789,"esn0n",NA,NA
"m54lb",0,NA,NA,"fn9yn",33.9000015258789,54.5999984741211,"sdl2o",NA,NA
"cjka3",0,29.7727279663086,53.4411354064941,"o5e62",NA,NA,"j7244",44.7142868041992,59.8597412109375
"dx6uo",1,29.1666660308838,73.3828048706055,"hsy91",42.4384613037109,58.9689865112305,"fiotf",40.25,59.6537895202637
"fefer",1,NA,NA,"gu3fp",NA,NA,"bolzd",NA,NA
"frtea",0,28.3500003814697,51.9410514831543,"l70m3",NA,NA,"f0whf",60.7916679382324,51.1037216186523
"db9z0",0,20.6499996185303,55.1454544067383,"sq4x2",56.0750007629395,47.8486328125,"a9883",62.5999984741211,53.9984855651855
"k2e4j",0,27.7999992370605,48.4698181152344,"gf3f5",NA,NA,"e2o8e",49.2999992370605,59.2272720336914
"ghl39",0,NA,NA,"fuycm",NA,NA,"ctvhh",54.2437515258789,55.3598594665527
"l7yfo",0,30.0571422576904,72.1662673950195,"cf4h8",48.8176460266113,54.1903953552246,"m4v36",42.8199996948242,61.7475318908691
"anmvu",1,27.7333335876465,64.1981582641602,"isa8b",44.4799995422363,54.0967826843262,"gfdyd",NA,NA
"g0pg2",0,28.8199996948242,62.2799987792969,"jyx2m",NA,NA,"r8sat",NA,NA
"gz68o",1,20.5499992370605,64.3181838989258,"j9yb4",38.8444442749023,43.7391967773438,"o42fx",NA,NA
"lu5c6",1,31.7999992370605,58.435962677002,"elcaa",51.2384605407715,50.0740776062012,"duhhd",50.5250015258789,61.0141334533691
"o62qr",0,25.7714290618896,55.7082977294922,"ann0e",NA,NA,"m4v36",42.8199996948242,61.7475318908691
"qrfze",0,22.8250007629395,57.9545440673828,"syqd1",NA,NA,"r8sat",NA,NA
"ubodj",1,28.4818172454834,50.5247383117676,"hd7bv",NA,NA,"gdntt",60.5466651916504,60.5726737976074
"xj8m6",0,NA,NA,"f9x2p",NA,NA,"ab96c",NA,NA
"cq54d",1,NA,NA,"vjvk2",NA,NA,"pn4so",NA,NA
"eu303",0,25.6240749359131,56.2222213745117,"p98ei",NA,NA,"f0ub9",NA,NA
"nw25c",1,22.8250007629395,50.4545440673828,"sq4x2",56.0750007629395,47.8486328125,"a9883",62.5999984741211,53.9984855651855
"iwxbt",1,20.3999996185303,58.7878799438477,"fshyn",44.6599998474121,51.7704544067383,"ns94o",51.2666664123535,52.024242401123
"xe5hi",1,24.1333332061768,63.0858573913574,"akiyv",39.2357139587402,54.1202926635742,"u5us1",NA,NA
"lvkww",1,18,56.8181800842285,"ikc6a",37.8250007629395,52.7688293457031,"q2byp",NA,NA
"eb7ef",1,NA,NA,"fn9yn",33.9000015258789,54.5999984741211,"sdl2o",NA,NA
"x5icf",1,31.466667175293,61.0936851501465,"lvgdk",35.5888900756836,45.2306823730469,"z4zm6",NA,NA
"g4vnn",0,20.75,57.5,"t0x6d",37.2142868041992,56.3519477844238,"nvtii",57.1238098144531,58.7577514648438
"r5wua",0,27.1599998474121,57.8823356628418,"hsy91",42.4384613037109,58.9689865112305,"fiotf",40.25,59.6537895202637
"cwylv",0,NA,NA,"y3yrn",NA,NA,"xhcgx",NA,NA
"iqo85",0,26.5636367797852,60.1567153930664,"caf4x",43.2769241333008,55.6652336120605,"gbq5d",48.771427154541,64.1265335083008
"pon33",1,21.7666664123535,54.0909080505371,"gf3f5",NA,NA,"e2o8e",49.2999992370605,59.2272720336914
"rdtcy",1,24.033332824707,60.9847602844238,"kniqy",35.5,54.4665222167969,"wagby",NA,NA
"rw5pq",0,19.1333332061768,56.6666679382324,"ann0e",NA,NA,"r8sat",NA,NA
"sybu1",0,21.1000003814697,57.5,"o5e62",NA,NA,"j7244",44.7142868041992,59.8597412109375
"iz8ch",1,22.6000003814697,62.3863639831543,"inehi",49.2874984741211,46.5704536437988,"nwpic",45.8222236633301,56.0670471191406
"cfvd1",1,23.1000003814697,65.9090881347656,"uhin6",NA,NA,"iyxry",NA,NA
"udrxa",1,18.1000003814697,63.1818199157715,"sq4x2",56.0750007629395,47.8486328125,"a9883",62.5999984741211,53.9984855651855
"rgh2p",1,23.5,60.0512924194336,"obn7c",49.6714286804199,48.6476631164551,"xmrte",NA,NA
"ow8q7",0,NA,NA,"rzk05",45.2999992370605,44.4287872314453,"vb271",NA,NA
"xzzyh",1,18.1000003814697,73.1818161010742,"iytw0",NA,NA,"kj2j3",NA,NA
"id6u4",0,20.25,48.75,"e72yy",40.0625,58.7679672241211,"b43p4",30.6636371612549,58.4745445251465
"l0jjq",1,19,64.5454559326172,"x6kls",40.5555572509766,53.7393951416016,"f5h9w",NA,NA
"gu7hl",1,26.8666667938232,67.0058517456055,"k0nnw",46.6333351135254,57.7992630004883,"twm5n",41.6416664123535,58.3839683532715
"bw200",1,NA,NA,"y3yrn",NA,NA,"xhcgx",NA,NA
"vjf65",1,NA,NA,"t4jht",NA,NA,"mmqs7",NA,NA
"poo4m",0,19.7333335876465,48.7878799438477,"t0b1a",36.3875007629395,53.5193176269531,"mty37",33.1888885498047,66.136360168457
"t4lvt",1,NA,NA,"hsy91",42.4384613037109,58.9689865112305,"fiotf",40.25,59.6537895202637
"nafbk",1,NA,NA,"iytw0",NA,NA,"kj2j3",NA,NA
"bgowa",1,25,57.6059303283691,"fshyn",44.6599998474121,51.7704544067383,"ns94o",51.2666664123535,52.024242401123
"zdt4c",0,NA,NA,"bd7yr",NA,NA,"buuap",50.0999984741211,63.1818199157715
"dlskt",1,NA,NA,"zpty7",32.1500015258789,61.0045471191406,"q9axt",41.5533332824707,62.2578430175781
"nkzyz",0,18,49.5454559326172,"mnxay",41,48.9300384521484,"r86gx",54.5,51.5
"amwhs",1,NA,NA,"cwc4h",NA,NA,"zs9ml",NA,NA
