"male","age","RS","agef","RSf","RSma","RSmidpointf","fid"
0,36,5,85,21,5,14.5,331
0,51,5,93,25,5,16,298
0,30,2,84,41,2,22,144
0,27,NA,73,11,NA,NA,921
1,40,6,77,14,5.84000015258789,9.5,332
0,53,7,85,32,7,20,432
1,47,5,90,31,4.84000015258789,21,762
0,76,2,NA,NA,NA,NA,NA
1,71,24,NA,NA,NA,NA,NA
1,34,3,75,17,2.6800000667572,11.5,151
0,54,10,NA,NA,NA,NA,NA
0,42,4,87,21,4,13.5,112
0,46,8,76,9,7.84000015258789,6.5,222
1,51,8,79,20,7.84000015258789,13.5,114
1,13,NA,68,26,NA,NA,292
0,32,3,73,12,3,7.5,212
1,40,3,68,26,2.83999991416931,16.5,292
1,68,26,NA,NA,NA,NA,NA
0,70,7,NA,NA,NA,NA,NA
1,54,3,84,24,3,16,134
1,55,12,93,25,12,16,298
1,39,6,NA,NA,NA,NA,NA
1,46,2,73,11,1.8400000333786,7.5,921
0,56,3,92,29,3,19,882
1,55,9,NA,NA,NA,NA,NA
0,32,4,72,6,4,6,154
0,36,5,79,23,4.67999982833862,15.5,444
1,53,9,85,21,6.67999982833862,13.5,331
0,36,8,73,22,7.80000019073486,15,770
1,63,21,NA,NA,NA,NA,NA
1,39,7,NA,NA,NA,NA,NA
0,37,NA,79,20,NA,NA,114
1,17,NA,80,14,NA,NA,424
0,34,6,73,12,5.51999998092651,7.5,212
0,30,NA,93,25,NA,NA,298
1,63,13,NA,NA,NA,NA,NA
1,53,8,77,14,8,9,332
0,30,3,84,24,2.83999991416931,16,134
0,33,5,80,14,4.67999982833862,10,424
0,43,NA,75,17,NA,NA,151
1,92,29,NA,NA,NA,NA,NA
0,43,7,NA,NA,NA,NA,NA
0,39,7,90,23,6.51999998092651,13,155
1,75,17,NA,NA,NA,NA,NA
1,42,7,84,41,6.67999982833862,23,144
1,73,11,NA,NA,NA,NA,NA
0,36,NA,85,21,NA,NA,331
0,34,5,92,29,4.94000005722046,19.5,882
1,38,5,NA,NA,NA,NA,NA
1,41,9,71,24,6.51999998092651,16.5,267
0,53,7,90,31,6.84000015258789,21.5,762
1,46,7,71,24,6.84000015258789,15.5,267
0,35,7,NA,NA,NA,NA,NA
1,35,5,73,12,4.84000015258789,8.5,212
0,31,7,84,41,6.67999982833862,25,144
1,51,6,92,29,5.84000015258789,19,882
1,55,5,83,14,5,10.5,250
1,41,9,79,23,6.67999982833862,16,444
1,53,18,NA,NA,NA,NA,NA
0,37,3,NA,NA,NA,NA,NA
1,55,7,84,24,6.67999982833862,14.5,134
1,51,12,77,14,11.6400003433228,9.5,332
0,37,5,83,14,5,9.5,250
0,36,NA,93,25,NA,NA,298
0,33,4,84,24,3.83999991416931,16,134
1,45,5,77,14,5,9,332
1,35,8,NA,NA,NA,NA,NA
0,32,5,66,10,4.67999982833862,7.5,198
1,58,14,NA,NA,NA,NA,NA
1,59,4,85,32,4,20,432
0,53,NA,83,14,NA,NA,250
1,46,2,83,14,2,9.5,250
1,84,41,NA,NA,NA,NA,NA
0,43,7,71,24,7,16.5,267
1,31,4,90,23,3.83999991416931,15,155
1,35,8,NA,NA,NA,NA,NA
1,33,4,79,20,3.83999991416931,13,114
1,48,7,79,23,6.84000015258789,14.5,444
1,39,9,79,20,6.51999998092651,13.5,114
1,34,4,79,20,3.6800000667572,13.5,114
0,39,5,85,21,4.84000015258789,13.5,331
