"age","agem","rs","rsm","mid"
38,60,4.96999979019165,9,"gayo6"
48,75,1,9,"d8qwy"
52,40,10,6,"bp626"
65,92,NA,9,"xwhnw"
20,59,NA,6,"cr3gb"
30,70,0.970000028610229,5,"q2ln4"
18,48,NA,5,"zlf1e"
14,40,NA,6,"a3bht"
33,57,NA,9,"ehuy9"
70,55,3,6,"dhc1a"
45,70,NA,7,"ea136"
45,70,6,3,"kwevm"
27,48,2,4,"ooyen"
37,57,4.96999979019165,6,"wqhan"
42,70,4.88000011444092,8,"wa2ph"
20,45,NA,6,"pwzhq"
24,48,0.970000028610229,6,"wsqws"
24,45,2.94000005722046,8,"pkiue"
22,46,NA,5,"sfm93"
30,58,1.97000002861023,7,"rnwry"
18,38,NA,9,"uypcu"
56,85,NA,8,"oyq56"
35,50,NA,9,"heaar"
50,49,6,2,"j96iz"
28,63,NA,8,"nehnr"
21,60,NA,9,"pjgsp"
23,35,2.91000008583069,5,"zgsuy"
26,50,1.97000002861023,7,"x4s9x"
34,60,NA,5,"bz5ry"
28,59,4.94000005722046,6,"dx3ep"
15,38,NA,6,"s7spt"
14,42,NA,6,"oisal"
40,61,3.97000002861023,4,"swnwm"
55,75,NA,8,"dtpws"
37,70,NA,8,"zttcm"
30,65,4.90999984741211,9,"de3wm"
17,54,NA,5,"bxfte"
55,93,NA,5,"bjk5b"
38,71,NA,9,"zetyc"
20,50,NA,5,"iez3d"
16,50,NA,8,"oh95h"
51,54,NA,4,"fdy4i"
21,43,2.91000008583069,7,"l98mo"
28,67,4,5,"gw1ci"
43,60,NA,5,"ydv94"
23,43,3.91000008583069,10,"cb5aw"
27,48,NA,9,"cdme4"
50,40,6,2,"eccmr"
23,75,NA,9,"d8qwy"
30,60,NA,9,"t1ymr"
28,65,3.94000005722046,7,"u5w5f"
16,64,NA,5,"xtu77"
19,50,NA,12,"duv1t"
38,55,2,4,"yjebm"
33,75,2.97000002861023,8,"yeyg9"
18,38,NA,4,"wf2jg"
12,60,NA,4,"o8es2"
25,40,0.970000028610229,5,"n33z0"
47,70,NA,3,"uyyfk"
46,56,NA,4,"ny63d"
35,70,NA,4,"dkfnh"
30,58,3,7,"afx6w"
23,49,NA,4,"j67gw"
37,67,NA,6,"xklbs"
25,43,NA,5,"tjjto"
30,65,3,5,"dqz5m"
40,80,NA,3,"aspag"
10,46,NA,10,"hw3g2"
40,65,NA,3,"bqciz"
23,55,0.970000028610229,6,"s45z8"
16,60,NA,9,"pjgsp"
36,70,NA,5,"q2hw8"
17,50,NA,5,"fx1zf"
28,60,3.97000002861023,7,"xvkng"
50,70,NA,9,"cma7u"
22,50,NA,9,"v06qq"
42,67,NA,9,"wekcj"
40,75,2.97000002861023,8,"dtpws"
22,62,0.970000028610229,7,"bj1mb"
15,50,NA,8,"fbbhk"
42,71,6,5,"y8j2x"
28,53,3.94000005722046,6,"rasw8"
22,43,NA,7,"l98mo"
50,93,3,5,"bjk5b"
38,67,2.97000002861023,2,"gwwlt"
35,60,NA,11,"mipmh"
23,40,1.94000005722046,5,"btx82"
29,67,4.94000005722046,6,"xklbs"
21,45,NA,7,"veaqv"
11,40,NA,5,"atnv9"
27,55,2.94000005722046,7,"rnqvr"
22,60,NA,9,"gayo6"
42,65,NA,6,"el16l"
12,50,NA,8,"oh95h"
50,80,NA,8,"dgbjr"
34,60,NA,9,"i3oyv"
23,49,NA,7,"dowxd"
47,70,NA,7,"sg3tg"
45,70,NA,6,"lz6ds"
68,60,1,2,"x9cpj"
25,60,NA,9,"wfeiv"
31,60,NA,5,"uki1j"
47,70,9,6,"fe6l5"
24,50,NA,7,"h93jq"
34,80,NA,8,"dgbjr"
54,85,NA,8,"hm0rx"
36,70,7.94000005722046,6,"fibyw"
37,57,NA,9,"xifvm"
45,60,6,2,"no7t4"
29,53,4.96999979019165,3,"cnw9w"
14,48,NA,6,"wsqws"
58,50,2,2,"uh0sa"
58,70,NA,7,"mi70s"
32,55,NA,10,"ngtae"
24,42,3.94000005722046,8,"d4de2"
41,68,NA,6,"apk91"
50,30,7,2,"by2k7"
23,50,NA,9,"ugvmv"
17,50,NA,9,"ugvmv"
38,60,5,7,"sju2c"
46,84,6,5,"n1k30"
35,35,4.96999979019165,2,"hmgnf"
18,56,NA,8,"k79i3"
