"sex","weightm","weightf","weight","age","agef","agem","fid","mid"
"F",NA,NA,60.4000015258789,24.5,NA,NA,"m1ktz","e3ngx"
"F",NA,NA,55,33.7200012207031,NA,NA,"ygjn3","ad8hh"
"M",56.9000015258789,NA,65,24.0799999237061,NA,30.5499992370605,"f3s4u","layx6"
"F",NA,NA,46.7999992370605,22.3700008392334,NA,NA,NA,NA
"F",40.2999992370605,NA,46.5999984741211,26.6900005340576,NA,56.7000007629395,"wwnv4","hajlt"
"M",56.2000007629395,NA,53.5999984741211,18,NA,39.7599983215332,"acbjs","m03a1"
"F",NA,NA,66.0999984741211,44.5800018310547,NA,NA,NA,NA
"F",53.5,NA,58.7000007629395,24.7999992370605,NA,45.0499992370605,"suhmb","fz3us"
"F",NA,NA,45.2000007629395,45.439998626709,NA,NA,"wvovu","hrpi1"
"F",58.0999984741211,NA,60.2999992370605,18.6200008392334,NA,37.7200012207031,"mzf1s","ognro"
"F",NA,NA,50.2999992370605,22.7199993133545,NA,NA,"np376","i59v6"
"F",NA,NA,58.0999984741211,37.7200012207031,NA,NA,NA,NA
"F",NA,NA,51.7999992370605,51.7000007629395,NA,NA,"rwkai","tud43"
"F",NA,NA,53.9000015258789,24.9200000762939,NA,NA,NA,NA
"F",51.5,NA,71.5,26.7600002288818,NA,55.7400016784668,"a7uto","upcv6"
"F",NA,NA,74.8000030517578,34.7999992370605,NA,NA,NA,NA
"F",NA,NA,60.7000007629395,33.6699981689453,NA,NA,"wqzsi","quqlz"
"M",NA,NA,66.5999984741211,46.5800018310547,NA,NA,NA,NA
"M",NA,NA,60.4000015258789,49.5499992370605,NA,NA,NA,NA
"F",64.4000015258789,NA,56.0999984741211,23.0799999237061,NA,64.5,"iuebr","pjt0w"
"F",NA,NA,56.9000015258789,38.2900009155273,NA,NA,NA,NA
"M",NA,NA,57,20.1000003814697,NA,NA,"kfgle","fzjdf"
"M",49.5,NA,44.4000015258789,23,NA,33.7000007629395,"ye65q","p9n41"
"F",40.2999992370605,NA,51.7999992370605,25.1499996185303,NA,56.7000007629395,"wwnv4","hajlt"
"F",NA,NA,44.5999984741211,34.7200012207031,NA,NA,"lb091","qcu02"
"F",55,NA,59.0999984741211,26.9899997711182,NA,44.7099990844727,"sshyb","bwrja"
"M",NA,NA,63.2000007629395,39.1699981689453,NA,NA,NA,"gjo8v"
"F",NA,NA,57.2999992370605,27.8400001525879,NA,NA,"rk2so","jqrnh"
"F",NA,NA,46.7999992370605,43.7999992370605,NA,NA,NA,NA
"F",50.5999984741211,59.9000015258789,62.5999984741211,27.6900005340576,54.9199981689453,44.1500015258789,"brocg","imfqd"
"F",NA,NA,51,29.1499996185303,NA,NA,"vl7ty","jrt3m"
"F",NA,NA,50.7000007629395,49.7000007629395,NA,NA,NA,NA
"F",NA,NA,64.8000030517578,47.2900009155273,NA,NA,NA,NA
"F",NA,NA,46.7000007629395,52.7099990844727,NA,NA,NA,NA
"M",NA,NA,56.5999984741211,38.8300018310547,NA,NA,"zd2yp","holvw"
"M",NA,NA,67.5999984741211,35.75,NA,NA,"zd2yp","holvw"
"F",NA,NA,56.5,21.1499996185303,NA,NA,"z7p9x",NA
"F",NA,NA,49,19.5900001525879,NA,NA,"kh71k","v138u"
"M",NA,NA,64.4000015258789,41.5499992370605,NA,NA,"koxli","fzy49"
"F",72.5,NA,57.7000007629395,27.6200008392334,NA,47.6199989318848,"i3vpl","k5bqm"
"F",55,NA,48.2000007629395,18.7000007629395,NA,48.7999992370605,"y2e4x","czlvb"
"F",NA,NA,45.7999992370605,24.6900005340576,NA,NA,NA,NA
"F",NA,NA,54.7000007629395,27.5400009155273,NA,NA,"grnqk","s6syk"
"F",NA,NA,64.1999969482422,38.7099990844727,NA,NA,NA,NA
"M",NA,NA,65,53.5800018310547,NA,NA,"vl7ty","jrt3m"
"M",46.5,NA,53.4000015258789,25.5799999237061,NA,51.6399993896484,"z77m7","ex013"
"M",46.5,NA,51.2000007629395,18.5799999237061,NA,51.6399993896484,"z77m7","ex013"
