"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp","hh"
"zyn0v",0,23.3700008392334,3,NA,NA,NA,NA,NA,NA,NA,2533
"gpwfi",0,31.4599990844727,3,NA,NA,NA,NA,NA,NA,NA,3930
"ueybs",0,28.1499996185303,1,"hgr01",60.0200004577637,NA,"gp763",57.7000007629395,NA,4,2632
"w8tdk",0,75.2900009155273,2,NA,NA,NA,NA,NA,NA,NA,1620
"g8nsx",0,55.8300018310547,6,NA,NA,NA,NA,NA,NA,NA,2515
"yk4ft",0,68.9899978637695,6,NA,NA,NA,NA,NA,NA,NA,3708
"go8qu",0,61.2400016784668,4,NA,NA,NA,NA,NA,NA,NA,2615
"q8dpo",1,82.25,3,NA,NA,NA,NA,NA,NA,NA,4709
"wadpg",0,31.1900005340576,6,NA,NA,NA,NA,NA,NA,NA,1508
"ckhuq",0,45,2,NA,NA,NA,NA,NA,NA,NA,4820
"hbncz",1,78.2399978637695,4,NA,NA,NA,NA,NA,NA,NA,1604
"td4hg",1,58.4799995422363,4,NA,NA,NA,NA,NA,NA,NA,4806
"hb83m",1,66.4899978637695,3,NA,NA,NA,NA,NA,NA,NA,4510
"rbzxv",0,31.4699993133545,5,"ts2a0",62.9300003051758,NA,"g1rft",64.2799987792969,NA,3,3512
"pbzfr",0,81.620002746582,8,NA,NA,NA,NA,NA,NA,NA,1640
"y40fg",0,42.0800018310547,4,NA,NA,NA,NA,NA,NA,NA,4511
"oiul5",1,54.060001373291,3,NA,NA,NA,NA,NA,NA,NA,4522
"oqb7g",1,38.7200012207031,3,"b1ky2",65.0100021362305,NA,"wupy9",65.0999984741211,NA,4,2627
"kjmw8",1,42.8600006103516,4,NA,NA,NA,NA,NA,NA,NA,1626
"u9lrp",0,66.879997253418,7,NA,NA,NA,NA,NA,NA,NA,1638
"g0lc5",0,80.7699966430664,3,NA,NA,NA,NA,NA,NA,NA,3932
