"fid","mid","kcal","kcalm","kcalf","sex","age","agem","agef"
NA,NA,NA,NA,NA,2,NA,NA,NA
"wqve6","d5edk",NA,NA,NA,1,NA,NA,57.5
"dvb3a","iax7l",NA,NA,NA,2,NA,47,56
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,4565.9912109375,NA,NA,1,57,NA,NA
"kaiu6","xjlg3",NA,NA,NA,2,NA,21,33
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"exlsl","q04di",NA,NA,NA,2,NA,57,61
NA,"gzcpj",NA,NA,NA,1,NA,25,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ucjcs","p1x4b",NA,NA,4434.90478515625,1,NA,36,36
