"sex","land","kuniony","landf","uniony","idu"
2,3,"1800",19,1769,"PI1394"
2,135,"1836",126,1792,"VI0201"
1,0,"NA",0,1734,"JE0687"
2,84,"1778",90,1755,"EI1359"
1,0,"1809",0,1755,"GS1355"
2,0,"1765",0,1731,"GS1326"
1,0,"1822",0,1785,"GH0505"
1,137,"1782",128,1746,"GI0346"
2,106,"1776",86.5,1754,"GH0462"
2,101.5,"1789",126.5,1762,"VI0373"
1,0,"1797",12,1762,"PE1386"
1,148.5,"1753",168,1713,"UP0892"
2,0,"1811",0,1777,"EI1580"
2,157,"1815",129,1794,"UT1425"
1,144,"1768",117.5,1716,"PI0192"
1,155.25,"1846",0,1810,"GI1416"
1,0,"1820",0,1778,"PE1017"
2,9,"1780",137,1756,"UT1893"
1,0,"1814",0,1781,"HW0986"
2,0,"1806",0,1775,"GS2366"
1,0,"1806",0,1766,"CN0363"
2,0,"1816",33,1789,"PI0808"
1,5,"1781",5,1749,"UT0163"
2,0,"1746",0,1716,"PI0795"
2,64,"1811",139,1790,"PE0690"
2,0,"1815",0,1781,"VI0686"
1,6,"NA",32,1817,"WZ0065"
2,0,"1803",0,1772,"UT0953"
1,0,"1749",0,1724,"EI1592"
1,82,"1812",90,1767,"WO0015"
1,0,"NA",0,1766,"CN0363"
2,0,"1820",0,1795,"GS0291"
1,0,"NA",0,1735,"UP0545"
2,0,"1760",0,1736,"UP0458"
1,0,"1829",0,1801,"HI1493"
1,49,"1796",29,1752,"WO0631"
1,0,"NA",0,1756,"CN0402"
2,14,"1792",1,1769,"GS1544"
2,6,"1853",19,1810,"GS0601"
1,1,"1791",30.75,1746,"WO0532"
2,0,"1745",0,1714,"GS1859"
1,120,"1826",139.5,1786,"GS1433"
2,121,"1762",133,1735,"UT1882"
2,2,"1807",0,1778,"UT0631"
1,0,"1808",0,1774,"GH1047"
1,130,"1830",129,1800,"PE0217B"
2,0,"1753",0,1711,"GS1890"
2,0,"1795",6,1745,"PE1713"
2,0,"1778",3,1745,"GH0718"
1,0,"1771",0,1740,"PI2430"
2,193,"1824",135,1794,"PI1834"
1,0,"1788",0,1760,"GH0620"
1,0,"1778",3,1743,"VI0300"
2,56,"1794",39.5,1773,"GS0802"
2,3,"1775",6.5,1747,"HW0818"
2,121.5,"1774",88.5,1744,"CH0241"
1,73,"1858",35,1817,"GS1972"
2,3,"1856",3.5,1816,"PI1072"
1,2,"1835",22,1809,"VI1376"
2,21,"1855",14,1819,"GH1279"
2,56.5,"1783",81.5,1751,"PI0019"
1,49,"1773",0,1746,"UT0430"
2,196,"1764",142,1739,"GH0582"
1,0,"1794",8,1757,"GS1135"
1,0,"1865",0,1820,"FR0159"
1,60,"1867",20,1827,"GH1255"
1,0,"1806",0,1765,"HW1214"
1,0,"1754",6,1728,"PI0068"
2,0,"1835",0,1800,"CI0164"
1,128.25,"1859",228.350006103516,1810,"GI0452"
1,0,"1769",0,1729,"GS2521"
1,0,"1798",0,1769,"UP0137"
2,0,"1805",0,1778,"HI2709"
1,0,"1770",0,1736,"PI0842"
2,0,"1778",0,1742,"PI1005"
1,88.25,"1782",50,1748,"GS2887"
2,90,"1755",0,1733,"WO0620"
2,42,"1853",6,1827,"LP1661"
1,0,"1795",0,1763,"PE1070"
2,0,"1800",4,1755,"PI2474"
1,116.25,"NA",73.5,1808,"GI0040"
1,0,"1756",8,1726,"GH1884"
2,0,"1785",0,1764,"GI0160"
1,0,"1761",0,1730,"GH0727"
2,12.75,"1746",0,1716,"PI1135"
2,4,"1836",35,1817,"GS1972"
2,4.5,"1804",14,1779,"UT1025"
1,0,"1754",0,1726,"VI1664"
2,63.75,"1841",13,1815,"JE0048"
1,0,"1811",0,1760,"GH0620"
1,0,"1804",0,1771,"GS1975"
2,0,"NA",3,1755,"UT1509"
1,6.5,"1837",12,1784,"GS0501"
2,0,"1782",0,1740,"GS2353"
2,0,"1805",33,1774,"PI0807"
2,148.199996948242,"1816",162.75,1777,"FR0066"
1,0,"1779",6,1750,"HW0825"
1,0,"1772",0,1744,"FR0370"
2,5,"1781",0,1740,"GS2353"
2,0,"1785",5,1763,"GH1879"
2,0,"1760",0,1731,"PI1797"
1,0,"1787",0,1752,"JE0410"
2,0,"1830",0,1802,"GS1798"
1,0,"1812",29,1777,"PI2228"
1,0,"1753",0,1715,"PI0635"
2,11.75,"1773",74.5,1753,"FR0205"
2,109,"1766",6.5,1739,"PI0307"
2,115,"1757",103,1732,"VI1676"
1,0,"1772",70,1733,"EI1214"
1,0,"1782",0,1743,"GS2805"
1,0,"1844",0,1790,"FR1223"
2,0,"NA",0,1707,"GH0657"
2,345,"1821",80,1782,"VI0684"
2,5,"1786",38,1763,"PE0564"
2,0,"1794",6,1750,"HW0825"
2,0,"1782",0,1760,"PI1444"
1,58,"NA",6,1782,"LP1215"
2,79,"1815",65,1791,"CH0580"
2,85.5,"1777",114,1752,"HI2991"
2,0,"1809",0,1770,"PI0155"
2,0,"1770",2,1738,"PE0744"
1,9,"1863",0,1818,"PI1977"
2,4.5,"1784",109,1755,"PI1946"
2,116,"1798",86,1766,"CI0388"
1,46.7999992370605,"1866",89.6999969482422,1838,"FR1051"
1,4,"1777",24,1742,"UT1011"
2,109,"1817",160.5,1792,"GH0609"
2,114.5,"1751",144,1727,"PI1282"
2,0,"1804",0,1771,"GS2183"
2,0,"1788",0,1756,"PI0387"
1,0,"1811",0,1785,"PI0498"
2,0,"1720",100,1698,"GH0538"
1,0,"1730",0,1692,"GH0289"
2,104,"1771",50,1748,"GS2887"
1,8.5,"1751",12,1722,"EI0807"
1,193.5,"1867",4.5,1821,"GH1138"
2,123,"1775",38,1754,"PE0563"
2,89.5,"1818",130,1797,"PE1180"
1,3,"1811",62,1785,"UT0743"
1,0,"NA",0,1759,"VI0486"
1,0,"1827",0,1782,"GS1076"
1,9,"1811",86,1766,"CI0388"
2,0,"1849",3,1807,"PE0971"
1,151,"1792",122.75,1763,"HI1750"
1,0,"1759",0,1716,"PI1135"
1,58.5,"1838",124.800003051758,1801,"GI0002"
1,146,"NA",106,1759,"HW0650"
