"mid","rsm","rs","age","agem","schedcst"
"tt432",3,3.88000011444092,38,58,1
"z41wr",5,NA,41,60,1
"k2w73",3,NA,44,65,0
"u6ki9",8,NA,29,82,1
"i04on",5,NA,40,65,1
"b2cc5",3,6.88000011444092,45,45,1
"by5bw",8,NA,38,68,1
"qkqh3",6,1.87999999523163,30,50,1
"xr98q",6,NA,32,65,1
"mi40o",7,NA,30,60,1
"wm79e",4,1.94000005722046,45,56,1
"lpz9e",5,0.939999997615814,28,40,1
"tto72",3,3.94000005722046,45,70,1
"p991g",5,NA,36,55,1
"v5dku",6,NA,28,60,1
"xq5t5",7,NA,20,75,1
"mulcr",10,1.87999999523163,28,60,1
"v5eoh",7,NA,26,58,1
"yvl8v",4,NA,40,46,1
"f3we1",4,NA,42,55,0
"sxxzi",5,NA,42,65,0
"rva9h",6,1.94000005722046,30,68,0
"arurl",5,NA,22,55,1
"exj5h",6,NA,42,60,1
"f0na6",3,4.94000005722046,40,65,1
"cldhr",6,0.939999997615814,35,57,0
"j4633",2,5,65,60,1
"hipj5",6,NA,34,55,0
"hipj5",6,1,25,55,0
"nt0rl",3,NA,45,69,1
"mbypv",4,NA,57,60,1
"opqr4",3,1.94000005722046,36,60,0
"f2hi1",5,NA,32,42,1
"apod4",4,NA,43,55,0
"aw0g7",2,4,40,50,1
"yvl8v",4,3.88000011444092,38,46,1
"tlzcq",5,NA,40,65,0
"x6tfq",5,NA,20,42,1
"ddd0y",6,NA,70,70,1
"zzug5",5,NA,25,55,1
"w1t1v",4,NA,35,56,1
"ixhx1",4,NA,50,73,1
"j0ft2",4,NA,34,38,0
"u37ec",6,NA,40,50,0
"gzfxz",4,NA,35,65,1
"v5dku",6,NA,33,60,1
"uksh3",6,0.939999997615814,40,60,0
"e6m9y",5,0.939999997615814,30,50,1
"bi7g1",4,3.88000011444092,40,50,1
"mn1o8",8,1,50,63,1
"mav7c",10,NA,38,60,1
"b4c4n",7,NA,43,60,1
"nced2",8,NA,62,85,1
"jjqm4",7,NA,38,65,1
"l86vh",3,NA,45,50,1
"gqi8x",3,NA,29,50,1
"cuo41",5,NA,30,65,1
"s1n0d",2,0.939999997615814,30,50,1
"pls85",3,NA,38,60,1
"b7jht",8,NA,55,60,0
"vj3x5",8,NA,60,75,1
"lbzsj",9,1.87999999523163,38,65,1
"ec3eu",5,NA,26,65,1
"tabpg",7,NA,35,60,1
"hc4fw",4,1,29,40,1
"df903",6,NA,43,65,1
"w6nl6",3,4.88000011444092,40,63,1
"hbu4g",2,3.88000011444092,40,70,1
"nced2",8,NA,47,85,1
"swv2c",3,2.88000011444092,31,32,1
"mbypv",4,3.94000005722046,45,60,1
"szq73",6,NA,30,53,1
"mjcog",7,1.87999999523163,30,55,1
"ckd9c",4,1.94000005722046,35,80,1
"zh9q6",3,3.88000011444092,42,65,1
"dz1o1",3,NA,46,63,1
"o01w2",3,5.88000011444092,45,55,1
"fhf45",3,NA,24,40,1
"zt7vo",3,NA,23,60,1
"pkbx5",7,NA,30,54,1
"sdyle",2,2.88000011444092,45,70,1
"euo3p",5,4.94000005722046,46,38,0
"w8mrs",5,NA,28,65,1
"pkbx5",7,NA,35,54,1
"ou59e",8,NA,22,57,1
"bp8vg",7,NA,38,65,0
"uudxx",6,NA,39,74,0
"yyhgd",6,NA,33,65,1
"m5toi",8,2.88000011444092,40,72,0
"nr65e",6,0.939999997615814,35,35,1
"b1ddk",5,2.88000011444092,39,70,1
"qw6be",2,NA,32,35,1
"jyuc5",5,NA,25,65,1
"b86j5",9,1.87999999523163,30,54,1
"ydfna",4,NA,40,50,1
"h41zh",3,4.88000011444092,42,62,1
"szlv3",7,0.939999997615814,33,56,1
"fyhc4",2,6.88000011444092,55,60,1
"cmc97",4,NA,37,60,1
"wm79e",4,NA,49,56,0
"itm9i",5,NA,40,60,0
"cuo41",3,5.94000005722046,40,65,1
"n0duo",6,0.939999997615814,30,63,1
"qpwtd",7,NA,45,65,1
"z93m4",3,4.88000011444092,52,42,0
"rznv6",2,0.939999997615814,35,40,0
"prk0k",3,1,45,70,1
"tu85e",2,1.94000005722046,30,60,0
"dy2se",8,0.939999997615814,28,50,1
"qin5x",5,NA,23,55,0
"hlnzp",5,NA,23,45,1
"x7u56",2,1.94000005722046,35,58,1
"ijb16",3,NA,48,58,0
"upnq8",2,5,65,80,1
"x67rf",7,NA,29,58,1
"aaryg",7,1.94000005722046,38,65,0
"ed8fi",6,NA,29,50,1
"x67rf",7,NA,27,58,1
"xkpgd",3,NA,32,65,1
"idjqi",6,NA,52,45,1
"p47ai",6,NA,37,60,1
"om85m",2,2.94000005722046,49,52,0
"bp8vg",7,0.939999997615814,35,65,0
"mulcr",10,NA,21,60,1
"or1oj",3,NA,85,75,1
"fmgw0",7,1.87999999523163,42,65,1
"oarql",5,NA,31,60,0
"v5eoh",7,NA,30,58,1
"ou59e",8,NA,30,57,1
"nj5r5",4,7,45,69,1
"igq7g",2,NA,36,55,1
"podrs",4,NA,48,70,1
"lss3j",4,NA,43,65,0
"vwmu3",3,4.94000005722046,45,70,1
"rwq82",4,1.94000005722046,30,48,1
"t7zex",3,2.94000005722046,40,50,1
"erv2t",2,NA,42,60,1
"es9e6",2,3.94000005722046,45,75,1
"tyrzf",6,NA,35,75,1
"qpwtd",7,NA,42,65,1
"tzyl4",3,NA,30,70,0
"m5toi",8,NA,35,72,0
"xvy51",7,NA,37,55,1
"a32mo",3,1.87999999523163,28,45,1
"zydga",4,NA,42,52,0
"kipfs",6,0.939999997615814,25,50,1
"wpm5s",7,NA,34,67,1
"ww1wc",4,2.94000005722046,43,69,1
"nh33w",5,NA,45,56,0
"itm9i",5,4.94000005722046,37,60,0
"zamze",6,NA,37,60,1
"oyesq",3,0.939999997615814,29,45,0
"szq73",6,NA,25,53,1
"gtjig",6,NA,73,75,1
"ya59c",10,NA,20,65,1
"bw25f",4,NA,70,75,1
"njm7o",11,NA,36,58,1
"v46px",7,NA,37,55,1
"c341k",4,0.939999997615814,25,48,0
"xwrmy",5,NA,35,73,0
"nh33w",5,1.94000005722046,41,56,0
"iops6",4,NA,48,58,1
"z0r1n",2,3,42,45,1
"kal41",4,3.88000011444092,38,70,1
"ddwa6",6,NA,27,65,1
"pmve5",4,NA,23,30,1
"ddd0y",6,4,60,70,1
"n09dz",4,NA,60,90,0
"kvgfb",3,NA,45,45,1
"zpxgf",4,2.94000005722046,40,75,0
"cmc97",4,0.939999997615814,30,60,1
"gigpe",10,4.82000017166138,32,60,1
"zydga",4,NA,37,52,0
"ezq7y",6,NA,60,55,1
"k6txm",6,2.88000011444092,32,67,0
"mgw2d",2,1.94000005722046,33,55,1
"o2gqf",3,NA,55,72,1
"pv1lm",2,3.88000011444092,38,50,1
"jyuc5",5,NA,20,65,1
"xm4l6",7,NA,32,60,0
"h69qn",4,1.87999999523163,32,80,1
"yppcr",6,0.939999997615814,36,53,1
"up1lt",4,1.87999999523163,34,55,1
"rqn4h",8,NA,30,65,1
"wrl81",3,NA,37,67,0
"podrs",4,5.88000011444092,45,70,1
"f2gpt",3,3.94000005722046,40,35,1
"d6b8c",5,5.94000005722046,45,35,1
"ecx6l",4,5,39,80,1
"cue96",9,NA,26,65,0
"xr98q",6,1.87999999523163,35,65,1
"ekxfx",7,NA,42,75,1
"lbzsj",9,NA,26,65,1
"gyqtf",4,NA,42,47,1
"wgwfp",6,NA,50,75,1
"b4x63",5,NA,25,48,1
"qs9wy",5,4.88000011444092,40,60,1
"u37ec",6,2.94000005722046,50,50,0
"l61a2",8,NA,34,60,1
"h35vf",6,1.94000005722046,34,67,1
"vyxsu",2,NA,38,40,1
