"id","fid","mid","weight","weightf","weightm","sex","age","agem","agef"
"h0tj6","ulj5b","uyvui",20,46,43,2,7.46999979019165,33,43
"m485a",NA,"ikc5l",NA,NA,44.2999992370605,2,0.0799999982118607,18,NA
"wex20",NA,NA,48.7999992370605,NA,NA,1,46,NA,NA
"bygp3","baagb","uhugq",32,NA,37,2,23,39,NA
"dlikv","aku6h","uk9c3",14,47,50,1,3,28.1000003814697,50
"ynzvb","r8kjk","eu9p8",44.7999992370605,52,42.5999984741211,2,26,46,74
"js5jh",NA,NA,16.2999992370605,NA,NA,2,7,NA,NA
"joy6n","nv1z6",NA,54.9000015258789,NA,NA,1,64,NA,NA
"x4gkm","buzbj","hcjnx",NA,57,NA,2,3.5,NA,57
"zq2k9",NA,"eycii",23,NA,NA,1,9,40,NA
"s031p",NA,NA,67,NA,NA,1,47,NA,NA
"t0plt","da2m5","njil3",13,57,39,2,7,38.560001373291,37.5
"dq2k9",NA,"oj2y4",47,NA,NA,2,41,NA,NA
"i1sii","f76kq","t7kvf",10,48,41,1,2,26.0300006866455,27
"r4rgr",NA,"zrnic",37,NA,NA,1,71,NA,NA
"r2ie3","p1wc4","zzfd0",47,NA,NA,1,71,NA,NA
"dz7e2","vysez","hmyv0",18.1000003814697,63.5,46,2,8,46,42
"iipmx",NA,"h96ai",58.2000007629395,NA,NA,1,25,NA,NA
"ioykk",NA,"lut4b",NA,NA,52.0999984741211,2,5,30,NA
"m7aho","ere30","qegw2",37,52,49,2,14.8299999237061,34,46
"n600n","zf9o9","qgz8u",38.4000015258789,NA,NA,1,61,NA,NA
"yr0fr",NA,NA,59.5999984741211,NA,NA,2,28,NA,NA
"wc1z1","oxe26","tj1v8",56,NA,43,2,31,60,NA
"l4wp2","fvt0z","tx3ru",44.2999992370605,47,NA,1,48,NA,77
"dud3s",NA,"z9j4p",43,NA,NA,1,53,NA,NA
"nmpu0","px494","aaxb7",15.3999996185303,NA,NA,1,5.5,NA,NA
"am5hv","jn2vw","szmx3",56.2999992370605,NA,NA,1,55,NA,NA
"j3gc3","o5l2n","j744c",16.1000003814697,57,59,2,6.5,46.5,41
"hsfjb","s629m","rwegr",64,NA,46,1,24,49,NA
"dhgvx","wpv0m","oqjue",51,49,NA,1,37.75,NA,65
"argd9",NA,NA,52,NA,NA,1,74,NA,NA
"v6npc","fa25g","aa77q",57,NA,NA,2,46,NA,NA
"f9lm7","snhpy","vhqg5",20,46.5999984741211,NA,2,8,NA,49
"k90xt",NA,NA,39.2000007629395,NA,NA,2,30,NA,NA
"tfnfl",NA,"tbcqd",NA,NA,50,2,4,39,NA
"lmrdb",NA,"f3ytb",14,NA,50.0999984741211,1,4,23,NA
"xutc6",NA,NA,70.6999969482422,NA,NA,2,42.5,NA,NA
"g1pzd",NA,"f3ytb",16,NA,50.0999984741211,2,9,23,NA
"kzhey","hify0","ne8a5",18.7000007629395,NA,49.0999984741211,2,7.5,40,NA
"bnwb4",NA,NA,59.7999992370605,NA,NA,1,33,NA,NA
"kp38a","bbz5w","beq3y",42,NA,NA,2,25,NA,NA
"dg1nz",NA,"szqld",NA,NA,NA,1,30,20,NA
"rjol6",NA,"srfuy",47.7999992370605,NA,NA,1,56,NA,NA
"qeo12","cakgx","cbgcv",54.9000015258789,NA,47.5999984741211,2,40,71,NA
"kguul",NA,"ne8a5",28.2000007629395,NA,49.0999984741211,1,8,40,NA
"jdqhy","hj1hk","t49p0",52.0999984741211,NA,NA,1,41,NA,NA
"vftph","gctbt","r9fbe",21,51,NA,2,11,NA,31.3500003814697
"kjgbm","c1qwa","usnnv",NA,NA,50.7999992370605,2,4,40,NA
"pmgdc","f3z9i","hqs80",31,49.7999992370605,41.5999984741211,1,15,41,46
"dvu82",NA,"p2bin",NA,NA,40.9000015258789,2,0.170000001788139,20.5100002288818,NA
"tidcy","hvi4d","fuv3v",48.2999992370605,NA,45,1,18,44,NA
"ugibs",NA,"jtjnb",58.5,NA,NA,1,18,NA,NA
"jysck","kfgcy","hnr8o",38,NA,46.9000015258789,2,44,64,NA
"pu4hi",NA,"ompdv",33.7000007629395,NA,57,1,13.1700000762939,46,NA
"z82al",NA,NA,NA,NA,NA,2,55,NA,NA
"l2wn8","idytr","gv4qy",44.5999984741211,46.5,36.5999984741211,2,30.25,65,81
"mdtyc",NA,"ithht",56,NA,NA,2,18.5,NA,NA
"jpbh8",NA,NA,37.2000007629395,NA,NA,2,70,NA,NA
"xgi3d",NA,"p2awk",48.2000007629395,NA,NA,2,67.5,NA,NA
"nzs52",NA,"usnnv",23.7000007629395,NA,50.7999992370605,2,8,40,NA
"r29tw","k8yi0","nq7p8",56,NA,NA,1,56,NA,NA
"b8i90","khri9","epwz5",49,NA,NA,1,52,NA,NA
"jerpp","pg81n","huukx",15.1000003814697,52,49,2,7,48,55
"rabqv","jaaft","hmyv0",9,56,46,1,2,46,54
"tf7x6","a4z7g","uhugq",14.1000003814697,52,37,1,5,39,47
"v3qyi","ysya8","zi61s",41.9000015258789,48,NA,2,24.1000003814697,NA,54
"upkwq","k8yi0","ri0wj",39.7000007629395,NA,NA,1,59,NA,NA
"ap72h","qot5w","u6sfb",6,52.0999984741211,42,2,0.579999983310699,20.5,22
"cbbn3",NA,NA,46,NA,NA,2,70,NA,NA
"cai8c",NA,NA,62.7000007629395,NA,NA,1,30,NA,NA
"cavus",NA,NA,24.2000007629395,NA,NA,1,9,NA,NA
"nr4o8","ztfn0","jt2cc",15.1000003814697,54.0999984741211,50.0999984741211,2,5.5,25.3299999237061,31.5200004577637
"ktazn",NA,NA,48.2000007629395,NA,NA,2,22,NA,NA
"fb4qp","f60ka","ocvbc",20.2000007629395,61.5999984741211,38.7999992370605,2,7,48,50
"fvmu1","clwrj","hydq4",NA,55.0999984741211,50.5,2,0.150000005960464,36.5,39
"wmhpv","tnae8","afc3k",44,47,NA,2,38,NA,71
"svovf","da2m5","njil3",27,57,39,1,11.3500003814697,38.560001373291,37.5
"y0g33","qcy9w","omq3f",44.7000007629395,NA,NA,2,50.3300018310547,NA,NA
"p101v",NA,NA,26.2999992370605,NA,NA,1,8.5,NA,NA
"mdyi9",NA,"w90ng",49,NA,45,1,39,65,NA
"ndxng",NA,"tj1v8",34.0999984741211,NA,43,2,19,60,NA
"j2fd4","iv9pi","k4mej",49.4000015258789,NA,39.7000007629395,1,39,62.5,NA
"rcwns","po2le","hidwv",56,56,54,2,34,42.5,56
"gve86","f60ka","pb5ok",51,61.5999984741211,NA,2,20,NA,50
"dvnl4",NA,"kobex",55.5999984741211,NA,NA,1,26,NA,NA
"abt37","lhu5g","dlqd1",52.7999992370605,41,47,2,37,63,75
"h3x79","hubwk","ptufm",13.3999996185303,56.7000007629395,40,2,4,31,31
"w62ud","al4ah","sd299",47.7999992370605,47.5999984741211,NA,1,29,NA,71
"gif5y",NA,"s16tm",NA,NA,60.2000007629395,1,4,27,NA
"l4qjw","r9hbb","kcug2",43.7000007629395,58.2999992370605,NA,2,19,40,41
"lktek",NA,NA,49,NA,NA,1,70,NA,NA
"l8q0e","o5l2n","j744c",28.3999996185303,57,59,1,9,46.5,41
"khrse","u4rj0","mwjzc",50,NA,43.0999984741211,1,48,63,NA
"bm8z0","x3n3o","rwegr",21,NA,46,1,9,49,NA
"yi7c4","jsuka",NA,41,52.7000007629395,NA,2,31,NA,30
"oidjl","i1lzq","a9uqs",14.1000003814697,NA,58.9000015258789,2,4.5,26,NA
"o2veo",NA,"g1z7b",55,NA,NA,1,34,62.5,NA
"qbr4k","ijg92","hm4sw",40.9000015258789,52.2000007629395,47.2999992370605,2,20.5100002288818,50,57.75
"xqkw9","uno3g","wf34d",12,54,47,2,4,26,30.5
"jxv3f","v0d8y","bq3j3",45.0999984741211,NA,39,2,26,69,NA
"fgyds",NA,NA,58.7000007629395,NA,NA,1,26,NA,NA
"qlki1","fa25g","uv5g1",57,NA,52.4000015258789,1,48,70,NA
"r253y",NA,NA,50,NA,NA,2,39,NA,NA
"rbqld","po2le","ocn8u",50.7000007629395,56,36,1,21,43,56
"f323y","lhu5g","dlqd1",40,41,47,2,31.5,63,75
"zt3fj","epwqy","yi0rj",38,NA,NA,2,40,NA,NA
"kax5x","rbnab","bjqq2",NA,60,51.7999992370605,2,2,25.5,31
"tq2ia",NA,NA,57.7000007629395,NA,NA,1,32,NA,NA
"p6wtg","p1gok","za0wc",25.5,58,38.4000015258789,2,10.5,27,31
"r6cq2","d3fdh","kffgo",72,NA,43.5,2,22,33.5,NA
"pg0gi",NA,NA,NA,NA,NA,2,40,NA,NA
"hh8de","idytr","gv4qy",46,46.5,36.5999984741211,1,28.3500003814697,65,81
"olug6","x7jtl","a8l2f",14.3999996185303,49,34,2,5.5,31.5,44
"ung9p",NA,NA,61.5999984741211,NA,NA,1,50,NA,NA
"nktgp","rybra","hxoar",51.5,48,NA,1,26.2999992370605,NA,58
"k4hox",NA,NA,50.7999992370605,NA,NA,2,40,NA,NA
"gn5k3","rio9m","uhpr0",53.5,NA,NA,2,33,NA,NA
"ypz2l",NA,"weigt",29.3999996185303,NA,45,2,13,30,NA
"yuszg","idytr","mz207",33.9000015258789,46.5,NA,2,56,NA,81
"wg0qu","q7l4v","ctxpl",50.4000015258789,NA,37.5999984741211,1,36,69,NA
"igoqh","epwqy","yi0rj",41,NA,NA,2,16,NA,NA
"c5gbk","xrqk6","a5a5g",41.2000007629395,43,NA,2,45,NA,62
"sdywl","xrd3d","wblgn",52.4000015258789,NA,47,2,27.5,43,NA
"hvr6x","wm6tt",NA,58.7000007629395,60,NA,1,30,NA,50
"f625a","c1qwa","f9agb",57,NA,NA,1,25.2099990844727,NA,NA
"uz89x","y7ke0","njil3",43,58,39,2,20,38.560001373291,39
"p8n7f","mpz15","v3thv",53.9000015258789,NA,44.0999984741211,1,38,66,NA
"xej39","a2v32","cjxuh",50,37,NA,2,34,NA,71
"fdtkx","h28vz","q5qdf",35,NA,NA,2,75,NA,NA
"wts8j","rjfo6","wblgn",48.7000007629395,NA,47,1,18,43,NA
"cfla6","fp49p","nlfjx",49,NA,NA,2,51.5,NA,NA
"lmlop",NA,NA,55.2999992370605,NA,NA,1,57.5,NA,NA
"r1pbx","speez","qhm6p",36.4000015258789,39.7000007629395,46,2,16,61,59
"d6d50",NA,NA,39.7000007629395,NA,NA,2,62.5,NA,NA
"urqdn",NA,NA,54.7000007629395,NA,NA,1,60,NA,NA
"o7dsk",NA,"fgd04",35.5,NA,56,2,13.5,34,NA
"vjz3w","ere30","qegw2",22,52,49,2,10.5,34,46
"c3ke9","xrqk6","eu9p8",22,43,42.5999984741211,1,9,46,62
"duyge",NA,NA,42.9000015258789,NA,NA,2,30,NA,NA
"fn1l0","udui5","r2g49",53,46,55,1,17.9899997711182,42,56
"n8hgc","up89p","dm9ld",49,NA,41,2,34,75,NA
"qqe3b",NA,"hydq4",NA,NA,50.5,2,7.25,36.5,NA
"bdipu","wpv0m","hm4sw",52.7000007629395,49,47.2999992370605,1,30,50,65
"cxzsg",NA,NA,57.5,NA,NA,1,40,NA,NA
"d2e3a","tvv3g","grolk",54.5,46.5,45.9000015258789,2,21.5,49,57
"t01ah","x3n3o","rwegr",31,NA,46,1,10,49,NA
"qa1x2",NA,"wb7nh",19.6000003814697,NA,44,1,8,34,NA
"kmqxo","jt37z","outxc",28,NA,NA,1,13,26,NA
"sm0vk","zwf7o","j3ul6",60,61.4000015258789,44.2000007629395,1,31,55,62
"dbqaj","ox6il","d6icy",13,61,45,1,2.79999995231628,31.5,33.5
"ckyd1",NA,"wknyg",NA,NA,NA,1,18,NA,NA
"xiril","clwrj","hydq4",13.6999998092651,55.0999984741211,50.5,2,3.5,36.5,39
"c9uol","dbaiw","askb7",NA,NA,44.7000007629395,1,23,50.3300018310547,NA
"ssqy8",NA,NA,51.7000007629395,NA,NA,1,40,NA,NA
"vbonc",NA,"mc928",NA,NA,NA,2,20,55,NA
"gk3lc","lfftc","xw34q",21,58,46,2,9,30,43
"eogcp","k79n7","d047n",NA,NA,38.7000007629395,2,26,66,NA
"ifpu1",NA,"dxinc",48.5999984741211,NA,41.2000007629395,1,20,45,NA
"g4z4n","szjn2","ctxpl",39,47.7000007629395,37.5999984741211,2,47,69,68
"m967n",NA,NA,45.7000007629395,NA,NA,1,43,NA,NA
"tkvky","qzeop","eycii",47,50,NA,2,23,40,48
"dsmyo","d9ccr","dq5o2",54.4000015258789,NA,NA,2,60,NA,NA
"v6mcx","kfgcy","hnr8o",34,NA,46.9000015258789,2,31.5,64,NA
"w13pt","l3w7q","zff86",18.8999996185303,61,42.4000015258789,2,6,38,31
"mp6xj","ox6il","d6icy",14,61,45,2,5.5,31.5,33.5
